link,title,cp,company,duplicate_cps,tag,chapter_count,likes,publish_date,Status,keyword,author,view_count,is_end,duplicate_count
https://www.readawrite.com/a/0Zykv0,my mind | nnn. [BNK48],NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; BNK48; namneungbnk48; noeybnk48; NNN.; nnn; mymind; ลิปสติกสีลิลลี่,2,4,2020/5/5,OK,น้ำหนึ่งเนย,&deg; B &deg;,1386,0,1
https://www.readawrite.com/a/1Zqnud,คุณพ่อลูกติดกับภารกิจพิชิตคุณหนู#น้ำหนึ่งเนย,NamneungNoey,北极星,NamneungNoey,วายสเตชั่น,8,87,2020/2/16,OK,น้ำหนึ่งเนย,เป็นเศร้า,21878,0,1
https://www.readawrite.com/a/2Zdyx6,#พี่อ๋องเล่นเบส,NamneungNoey,北极星,NamneungNoey,BNK48; อรตาหวาน; แจนแก้ว; น้ำหนึ่งเนย; ชราไลน์; ลิปสติกสีลิลลี่,17,28,2019/7/27,OK,น้ำหนึ่งเนย,Ms.kittenwoman,8203,1,1
https://www.readawrite.com/a/2Zu192,วาฬเกยตื้น,NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; #NNN; BNK48; girl love; ลิปสติกสีลิลลี่,2,1,2020/3/23,OK,น้ำหนึ่งเนย,Bosschooka🍼,1600,0,1
https://www.readawrite.com/a/3Zsder,(os/sf) pine after ALLJAE,GinJay,北极星,GinJay,DAY6; anjae; อั้นเจ; piljae; พิลเจ; JINJAE; จินเจ; woonjae; อุนเจ; วายสเตชั่น,16,31,2020/3/4,自动排除: BL,จินเจ,shitora,13183,0,1
https://www.readawrite.com/a/6Ze782,Mister Butler &amp; Miss Maid Inc. บริษัทพ่อบ้านและเมดไม่จำกัด,NamneungNoey,北极星,NamneungNoey,18+; girl love; BNK48; เฌอสิค; อรตาหวาน; น้ำหนึ่งเนย; ปัญเจนนิษฐ์; ปัญเต็น; ลิปสติกสีลิลลี่,12,163,2019/7/23,OK,น้ำหนึ่งเนย,SilWings Of Lion,34893,0,1
https://www.readawrite.com/a/6Zqg5r,สาวดุ้น,NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; เมอาพิมฐา; นนน; BNK48; เมอา; พิมฐา; น้ำหนึ่ง; เนย; 18+; สาวดุ้น; ลิปสติกสีลิลลี่,7,43,2020/2/6,OK,น้ำหนึ่งเนย,pazjerlisation,38141,0,1
https://www.readawrite.com/a/6Zqj45,ความอยาก,NamneungNoey,北极星,NamneungNoey,ความอยาก18+; นนน; น้ำหนึ่งเนย; น้ำหนึ่ง; เนย; BNK48; nnn; 18+; นิยายรัก; Fanfiction แฟนฟิคชั่น; ดรามา,15,41,2020/2/7,OK,น้ำหนึ่งเนย,pazjerlisation,45216,1,1
https://www.readawrite.com/a/7Zhnc8,วันธรรมดาของฉันและเธอ,NamneungNoey,北极星,NamneungNoey,punjennis; ปัญเจนนิษฐ์; เฌอแก้ว; น้ำหนึ่งเนย; วีฟอนด์; ลิปสติกสีลิลลี่,1,3,2019/10/9,OK,น้ำหนึ่งเนย,jeiscnpe,1593,0,1
https://www.readawrite.com/a/8Zg2g8,First love - รักไม่ลืม,NamneungNoey,北极星,NamneungNoey,ปัญเจนนิษฐ์; สิคโม; น้ำหนึ่งเนย; Girl Love/Yuri; รักวัยรุ่น; BNK48; โรแมนติก; ดรามา; เฌอแก้ว; E7,30,132,2019/9/3,OK,น้ำหนึ่งเนย,E7,78550,1,1
https://www.readawrite.com/a/8Zoapi,🎈The moon - ck/nnn,NamneungNoey,北极星,NamneungNoey,เฌอแก้ว; น้ำหนึ่งเนย; ตาหวานอร; WritersQ; ลิปสติกสีลิลลี่,15,177,2020/1/30,OK,น้ำหนึ่งเนย,WritersQ,58907,1,1
https://www.readawrite.com/a/9Zu4uy,เพราะทุกเพลง มีคนอยู่ในนั้นเสมอ #BNK48,NamneungNoey,北极星,NamneungNoey,BNK48; PunTen; punjennis; ปัญเจนนิษฐ์; ปัญเต็น; วีฟ้อนต์; วีฟ้อน; *วีฟ้อนด์; #วีฟ้อนด์; weebnk48; WeeFond; #WeeFond; punbnk48; FondBNK48; jennisbnk48; นนน; เนยน้ำหนึ่ง; น้ำหนึ่งเนย; #น้ำหนึ่งเนยอิสเรียล; #น้ำหนึ่งเนยเป็นแฟนกัน; น้ำหนึ่ง; เนย; namneungnoey; noeybnk48; ลิปสติกสีลิลลี่,3,8,2020/3/24,OK,namneungnoey,SK,1806,0,1
https://www.readawrite.com/a/AZcywu,สมปัญ,NamneungNoey,北极星,NamneungNoey,ปัญเจนนิษฐ์; น้ำหนึ่งเนย; เฌอสิค; อรตาหวาน; BNK; girl love; ลิปสติกสีลิลลี่,1,16,2019/6/27,OK,น้ำหนึ่งเนย,ลี่น้อย,3864,0,1
https://www.readawrite.com/a/AZxt8d,หวานใจยัยมาเฟีย#jenlisa,NamneungNoey,北极星,NamneungNoey,Jenlis; jennie; Lisa; 18+; ปัญเจนนิษฐ์; น้ำหนึ่งเนย; เฌอสิค; อรตาหวาน; BNK48; โรแมนติก; ลิปสติกสีลิลลี่,14,19,2020/4/27,手动排除,น้ำหนึ่งเนย,L-___J,13415,0,1
https://www.readawrite.com/a/EZr4ri,ทะเลลิฟท์ ` nnn,NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; อรตาหวาน; เต็นสิค; BNK; girl love; ลิปสติกสีลิลลี่,1,11,2020/2/16,OK,น้ำหนึ่งเนย,` อักษรของฝุ่น .,2799,0,1
https://www.readawrite.com/a/EZwsxg,แฟน(เมีย)หมอ#อรตาหวาน,NamneungNoey,北极星,NamneungNoey,อรตาหวาน; โมแก้ว; น้ำหนึ่งเนย; ลิปสติกสีลิลลี่,5,37,2020/4/17,OK,น้ำหนึ่งเนย,Phet,3851,0,1
https://www.readawrite.com/a/FZanln,#บ้านแห่งสิงโต - NNN,NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; เนยน้ำหนึ่ง; BNK48; nnn; namneungnoey; ลิปสติกสีลิลลี่,3,25,2019/6/10,OK,namneungnoey,Potter,5014,0,1
https://www.readawrite.com/a/FZclvj,metropolis #มหานครคนเหงา,NamneungNoey,北极星,NamneungNoey,Feel good; BNK48; น้ำหนึ่งเนย; namneungnoey,1,159,2019/8/8,OK,namneungnoey,dunnowattozoo,27284,1,1
https://www.readawrite.com/a/GZed0l,nnn' รุ่นพี่...,NamneungNoey,北极星,NamneungNoey,girl love; nnn; BNK48; noey; namneung; namneungnoey; นนน; เนย; น้ำหนึ่ง; น้ำหนึ่งเนย; ลิปสติกสีลิลลี่,9,163,2019/7/30,OK,namneungnoey,sriism,78224,0,1
https://www.readawrite.com/a/GZidi6,ที่สุดเลยเว้ย...แก [SS1],NamneungNoey,北极星,NamneungNoey,ปัญเจนนิษฐ์; น้ำหนึ่งเนย; อรตาหวาน; เฌอสิค; แจนแก้ว; girl love; ลิปสติกสีลิลลี่,46,67,2019/10/23,OK,น้ำหนึ่งเนย,CocoaFreppe,36728,1,1
https://www.readawrite.com/a/HZn3bb,Close_friend (โมแก้ว),NamneungNoey,北极星,NamneungNoey,โมแก้ว; BNK48; น้ำหนึ่งเนย; อรเนย; ลิปสติกสีลิลลี่,13,108,2020/1/14,OK,น้ำหนึ่งเนย,คุณชานันท์,32544,1,1
https://www.readawrite.com/a/IZll5t,My little sister,NamneungNoey,北极星,NamneungNoey,ปัญเจนนิษฐ์; น้ำหนึ่งเนย; เฌอสิค; อรตาหวาน; โมแก้ว; girl love; ลิปสติกสีลิลลี่,38,189,2022/1/16,OK,น้ำหนึ่งเนย,CocoaFreppe,84182,1,1
https://www.readawrite.com/a/KZsoms,affection.HER,EmiBonnie,GMMTV,EmiBonnie,ลิปสติกสีลิลลี่; emibonnie; เอมี่บอนนี่,2,0,2020/3/9,OK,emibonnie,hopeless.m,265,0,1
https://www.readawrite.com/a/KZwayj,สงกรานต์ปีนี้ฉันโดนบอกเลิก #สงกรานต์อ่านฟิน,NamneungNoey,北极星,NamneungNoey,Girl Love/Yuri; สงกรานต์อ่านฟิน; Yuri; หญิงรักหญิง; โรแมนติก; ดรามา; น้ำหนึ่งเนย; นนน,1,1,2020/4/12,OK,น้ำหนึ่งเนย,สีสวาท,1453,0,1
https://www.readawrite.com/a/LZck0e,U R My moon,NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; นนน; nnn; อตว; อรตาหวาน; OTW; ลิปสติกสีลิลลี่,1,12,2019/6/21,OK,น้ำหนึ่งเนย,Uranut,2492,0,1
https://www.readawrite.com/a/MZq5qm,&bull;nnn&bull; [น้ำหนึ่งเนย],NamneungNoey,北极星,NamneungNoey,นิยายรัก; โรแมนติก; รักวัยรุ่น; Fanfiction แฟนฟิคชั่น; BNK48; น้ำหนึ่งเนย; namneungbnk48; noeybnk48; Normal; ลิปสติกสีลิลลี่,2,51,2020/2/3,OK,น้ำหนึ่งเนย,21xz,13535,0,1
https://www.readawrite.com/a/MZtlb5,Old World | New Life,NamneungNoey,北极星,NamneungNoey,OldWorldNewLife; nnn; BNK48; น้ำหนึ่งเนย; ป่าเวทมนตร์; แฟนตาซี,4,7,2020/3/18,OK,น้ำหนึ่งเนย,Mimikumo,1565,0,1
https://www.readawrite.com/a/OZnlk3,ONS | #ปัญเจนนิษฐ์ (rewrite),NamneungNoey,北极星,NamneungNoey,ปัญเจนนิษฐ์; เฌอสิค; อรตาหวาน; นนน; น้ำหนึ่งเนย; ปู้เป้โมบายล์; แจนแก้ว; ons; ลูกพี่สั่งมา; girl love; ลิปสติกสีลิลลี่,1,14,2020/1/16,OK,น้ำหนึ่งเนย,ลูกพี่สั่งมา,4260,0,1
https://www.readawrite.com/a/PZ631g,Chalaline 's Fanfic ชราไลน์ For You,NamneungNoey,北极星,NamneungNoey,BNK48; ชราไลน์; แจนแก้ว; อรตาหวาน; น้ำหนึ่งเนย; ลิปสติกสีลิลลี่,23,48,2018/9/28,OK,น้ำหนึ่งเนย,Ms.kittenwoman,12641,1,1
https://www.readawrite.com/a/PZq47f,The Destiny - ชะตาลิขิตรัก 💕,NamneungNoey,北极星,NamneungNoey,BNK48; ปัญเจนนิษฐ์; น้ำหนึ่งเนย; เฌอสิค; อรตาหวาน; แก้วโม; ปัญโม; girl love; นิยายวัยรุ่น; รักวัยรุ่น; ดรามา; E7,18,62,2020/2/16,OK,น้ำหนึ่งเนย,E7,26600,1,1
https://www.readawrite.com/a/QZejf0,เส้นทางของการหวนคืน,NamneungNoey,北极星,NamneungNoey,BNK48; น้ำหนึ่งเนย; ปัญเจนนิษฐ์; เฌอแก้ว; เฌอสิค; อรตาหวาน; อรเนย; รักผู้ใหญ่; รักวัยรุ่น; มาเฟีย; โลกมืด; อำนาจ; Girl Love/Yuri; แฟนตาซี; ดรามา; E7,278,302,2020/4/22,OK,น้ำหนึ่งเนย,E7,244534,0,1
https://www.readawrite.com/a/QZgvaw,9 o'clock |nnn.,NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; นนน; nnn; BNK48; ลิปสติกสีลิลลี่,1,42,2019/9/21,OK,น้ำหนึ่งเนย,6 o'clock,8968,1,1
https://www.readawrite.com/a/RZdoen,DAY ONE,NamneungNoey,北极星,NamneungNoey,Girl Love/Yuri; ดรามา; นิยายรัก; โรแมนติก; อรตาหวาน; น้ำหนึ่งเนย; BNK48; Dayone; ไออุ่นตะวัน,2,13,2021/1/19,OK,น้ำหนึ่งเนย,thirdfeb,2428,0,1
https://www.readawrite.com/a/WZavpl,NNN น้ำหนึ่งเนยอิสเรียลลลลลล..........,NamneungNoey,北极星,NamneungNoey,#NamneungNoey; #น้ำหนึ่งเนย; #น้ำหนึ่งเนยเป็นแฟนกัน; #น้ำหนึ่งเนยอิสเรียล; #นับหนึ่งถึงเนย; #หนึ่งกลอนมีเนยและน้ำหนึ่ง; #ชิปเปอร์; #บทกลอน,1,10,2019/5/22,OK,namneungnoey,T&aacute;o Fabuloso,12313,0,1
https://www.readawrite.com/a/WZwgw2,#เธอจากแดนไกล,NamneungNoey,北极星,NamneungNoey,น้ำหนึ่งเนย; #น้ำหนึ่งเนยเป็นแฟนกัน; อรตาหวาน; girl love; ลิปสติกสีลิลลี่,10,7,2020/4/14,OK,น้ำหนึ่งเนย,ObLin,2286,0,1
https://www.readawrite.com/a/YZs9o5,🎈BETWEEN - เรื่องระหว่างเรา,NamneungNoey,北极星,NamneungNoey,เฌอแก้ว; ปัญเจนนิษฐ์; น้ำหนึ่งเนย; วีโมบาย; อรสิค; WritersQ; ลิปสติกสีลิลลี่,19,243,2020/3/23,OK,น้ำหนึ่งเนย,WritersQ,92525,1,1
