detail_key,cp,chapter_count,likes,publish_date,view_count,is_end
r0,NamneungNoey,2,4,2020/5/5,1391,0
r1,NamneungNoey,8,88,2020/2/16,21957,0
r2,NamneungNoey,17,28,2019/7/27,8213,1
r3,NamneungNoey,2,1,2020/3/23,1607,0
r5,NamneungNoey,12,163,2019/7/23,34929,0
r6,NamneungNoey,7,43,2020/2/6,38249,0
r7,NamneungNoey,15,41,2020/2/7,45391,1
r8,NamneungNoey,1,3,2019/10/9,1595,0
r9,NamneungNoey,30,132,2019/9/3,78626,1
r10,NamneungNoey,15,178,2020/1/30,58960,1
r11,NamneungNoey,3,8,2020/3/24,1807,0
r12,NamneungNoey,1,16,2019/6/27,3865,0
r14,NamneungNoey,1,11,2020/2/16,2804,0
r15,NamneungNoey,5,37,2020/4/17,3852,0
r16,NamneungNoey,3,25,2019/6/10,5023,0
r17,NamneungNoey,1,161,2019/8/8,27341,1
r18,NamneungNoey,9,163,2019/7/30,78359,0
r19,NamneungNoey,46,67,2019/10/23,36796,1
r20,NamneungNoey,13,108,2020/1/14,32579,1
r21,NamneungNoey,38,189,2022/1/16,84403,1
r22,EmiBonnie,2,0,2020/3/9,265,0
r23,NamneungNoey,1,1,2020/4/12,1464,0
r24,NamneungNoey,1,12,2019/6/21,2494,0
r25,NamneungNoey,2,51,2020/2/3,13560,0
r26,NamneungNoey,4,7,2020/3/18,1565,0
r27,NamneungNoey,1,14,2020/1/16,4263,0
r28,NamneungNoey,23,48,2018/9/28,12663,1
r29,NamneungNoey,18,62,2020/2/16,26612,1
r30,NamneungNoey,281,302,2020/4/22,244937,0
r31,NamneungNoey,1,43,2019/9/21,8999,1
r32,NamneungNoey,2,13,2021/1/19,2437,0
r33,NamneungNoey,1,10,2019/5/22,12326,0
r34,NamneungNoey,10,7,2020/4/14,2299,0
r35,NamneungNoey,19,243,2020/3/23,92579,1
r36,NamneungNoey,10,57,2020/4/12,13513,1
r37,NamneungNoey,2,10,2020/5/11,2046,0
r38,NamneungNoey,29,191,2020/5/21,89752,1
r40,NamneungNoey,7,44,2020/5/17,9803,0
r41,NamneungNoey,17,100,2020/5/19,38231,1
r42,NamneungNoey,9,6,2020/5/18,2208,0
r44,NamneungNoey,9,37,2020/5/26,27597,0
r45,NamneungNoey,4,17,2020/6/7,3354,0
r46,NamneungNoey,1,27,2020/12/20,5688,1
r47,LingOrm,7,10,2024/8/22,2083,0
r48,NamneungNoey,1,14,2020/6/2,1283,0
r49,NamneungNoey,10,187,2020/6/17,83218,1
r51,NamneungNoey,1,11,2020/6/17,2776,0
r52,NamneungNoey,1,23,2020/6/26,2225,0
r53,NamneungNoey,37,374,2020/7/15,242856,1
r54,NamneungNoey,2,4,2020/7/22,959,0
r55,NamneungNoey,11,90,2020/7/23,31073,1
r56,NamneungNoey,5,3,2020/7/30,832,0
r57,NamneungNoey,1,32,2020/7/31,13013,1
r60,NamneungNoey,1,4,2020/8/27,1726,0
r61,NamneungNoey,17,65,2020/8/18,12523,0
r62,NamneungNoey,1,17,2020/8/19,6327,1
r63,NamneungNoey,11,37,2020/8/22,15109,1
r64,MilkLove,1,18,2024/5/29,1511,1
r65,NamneungNoey,10,13,2020/8/26,1489,0
r66,NamneungNoey,21,151,2020/9/7,70697,1
r67,NamneungNoey,5,16,2020/9/1,16288,0
r68,NamneungNoey,37,165,2020/9/26,115659,1
r69,NamneungNoey,3,11,2020/9/3,1608,0
r70,NamneungNoey,1,10,2020/9/5,3605,1
r71,NamneungNoey,10,16,2020/9/7,5211,0
r72,NamneungNoey,1,11,2020/9/7,1532,0
r73,NamneungNoey,23,123,2020/9/17,42064,1
r75,NamneungNoey,2,10,2020/9/20,2367,0
r76,NamneungNoey,1,6,2020/9/24,1226,0
r78,NamneungNoey,2,40,2020/10/19,18713,0
r79,NamneungNoey,33,307,2020/10/20,170219,1
r80,NamneungNoey,6,425,2020/12/24,104817,0
r81,NamneungNoey,57,125,2020/10/29,55231,1
r82,NamneungNoey,10,78,2020/12/26,27483,1
r83,NamneungNoey,4,58,2021/2/15,16582,1
r84,NamneungNoey,12,16,2020/11/10,10645,1
r85,NamneungNoey,1,4,2020/11/18,915,0
r86,NamneungNoey,83,55,2021/1/21,44691,0
r87,FreenBecky,17,38,2020/12/19,18054,0
r88,NamneungNoey,2,18,2020/12/2,5544,0
r89,NamneungNoey,39,78,2020/12/7,35925,0
r90,NamneungNoey,2,7,2020/12/12,1549,0
r93,NamneungNoey,7,6,2020/12/23,3482,1
r94,NamneungNoey,27,16,2020/12/22,7800,1
r95,NamneungNoey,3,10,2021/2/14,3461,0
r96,NamneungNoey,53,196,2021/1/6,230890,1
r97,NamneungNoey,32,137,2021/1/12,22764,1
r98,NamneungNoey,2,17,2021/1/8,7814,0
r100,NamneungNoey,1,12,2021/1/14,1516,0
r101,NamneungNoey,17,18,2021/1/28,7606,1
r102,FreenBecky,4,18,2021/6/13,5026,0
r103,NamneungNoey,13,62,2022/5/5,10043,0
r104,NamneungNoey,25,47,2021/3/16,28433,1
r105,NamneungNoey,1,22,2021/1/31,6909,0
r106,NamneungNoey,13,90,2021/2/13,50587,1
r107,NamneungNoey,14,5,2021/2/15,4179,1
r109,NamneungNoey,1,43,2021/2/7,32002,1
r110,NamneungNoey,1,47,2021/2/8,38097,1
r111,NamneungNoey,4,96,2021/2/22,54093,0
r112,NamneungNoey,21,15,2021/3/15,7263,1
r113,GinJay,11,30,2021/2/20,9177,1
r114,NamneungNoey,1,39,2021/2/23,10588,0
r115,NamneungNoey,34,73,2021/2/28,34125,1
r117,NamneungNoey,8,79,2021/3/6,16252,0
r118,NamneungNoey,1,3,2021/4/6,1631,1
r120,NamneungNoey,1,64,2021/3/19,59318,0
r121,NamneungNoey,1,8,2021/3/19,1536,1
r122,EngLot,27,381,2023/3/9,192516,1
r123,EngLot,29,301,2023/4/22,182846,1
r124,NamneungNoey,26,223,2021/7/8,160997,1
r125,NamneungNoey,3,24,2021/4/12,28102,0
r126,NamneungNoey,32,149,2021/5/3,106176,1
r127,NamtanFilm,10,41,2021/4/14,18628,1
r128,MilkLove,14,293,2026/2/5,49927,0
r130,NamneungNoey,10,3,2021/5/16,4463,1
r131,NamneungNoey,4,8,2021/4/26,2731,0
r132,NamneungNoey,4,7,2021/4/26,2914,0
r133,NamneungNoey,8,2,2021/6/13,1792,0
r134,NamneungNoey,39,45,2022/2/24,27487,1
r135,NamneungNoey,13,17,2021/6/7,3278,1
r136,NamneungNoey,9,10,2021/5/1,5514,1
r137,KapookCiize,1,6,2026/6/20,368,0
r138,NamneungNoey,27,30,2021/5/9,12457,0
r139,NamneungNoey,10,13,2021/9/3,6369,1
r140,EngLot,25,473,2022/11/23,210233,1
r142,FreenBecky,5,15,2021/6/7,1913,0
r143,NamneungNoey,6,10,2023/10/18,4232,1
r144,NamneungNoey,8,80,2021/6/13,14637,0
r145,NamneungNoey,5,89,2021/6/10,20093,0
r146,NamneungNoey,10,38,2021/6/17,12560,0
r147,NamneungNoey,1,7,2021/6/18,793,0
r148,NamneungNoey,3,638,2024/12/20,32225,0
r149,NamneungNoey,2,16,2021/6/20,2839,0
r150,NamneungNoey,1,2,2021/6/22,1660,0
r151,NamneungNoey,16,27,2022/1/11,10386,0
r152,LenaMiu,8,141,2026/2/8,26219,0
r153,NamneungNoey,10,131,2021/7/9,28672,1
r154,NamneungNoey,2,2,2021/7/1,735,0
r155,NamneungNoey,6,3,2021/10/1,2255,1
r156,FayMay,13,39,2021/7/16,6558,0
r157,FreenBecky,36,38,2025/7/31,13935,1
r158,NamneungNoey,19,17,2021/9/26,10881,0
r161,NamtanFilm,1,10,2025/8/12,488,1
r162,NamneungNoey,14,13,2021/7/31,3461,0
r163,FreenBecky,33,279,2021/8/1,105878,1
r164,NamneungNoey,17,44,2021/8/3,9254,1
r166,NamneungNoey,8,4,2021/10/24,1362,1
r167,NamneungNoey,1,0,2021/8/4,696,0
r169,NamneungNoey,12,149,2021/8/13,40030,1
r170,EngLot,15,37,2021/8/18,18121,1
r171,NamneungNoey,1,7,2021/8/19,1558,0
r172,NamneungNoey,9,37,2021/8/26,9435,0
r173,NamneungNoey,14,14,2021/8/31,12499,1
r174,NamneungNoey,35,44,2021/8/21,18062,0
r175,NamneungNoey,12,10,2021/8/23,4765,0
r176,EnjoyJune,11,68,2025/12/11,11053,0
