detail_key,article_id,title,author
r2781,Za9prs,พี่คนสวยกับแมวเด็ก [ bamyada ],สวนทิวลิป
r2900,Zadp5l,꒰  OS ꒱ ดวงใจจุฑาเทพ — bamyada,พีพีเทพซ่า
r2939,Zaen1x,Generation 23 | bamyada,พีพีเทพซ่า
r3034,Zah7d7,Bar host | yadabam,พีพีเทพซ่า
r3072,Zai4sy,รักร้าย | kaopp & yadabam,OO^^OO
r3194,Zalam5,เยว่ชิง | bamyada,พีพีเทพซ่า
r3209,Zalrh9,เกลียดยี่หวา | bamyada,พีพีเทพซ่า
r3218,Zalvu1,chamomile | bam x all,healing.zero%
r3220,Zalx6e,midnight rain | mintpp,strawberrycheesecake
r3227,Zam45f,แล้วแต่คุณดา : bamyada,overall
r3295,Zantvy,แอบรัก 101 | yadabam,เจิดจรัสในย่านนี้
r3305,Zao6f9,เพรชยาใจ | bamyada,พีพีเทพซ่า
r3403,Zard9f,บัตรจีบ | bamyada,พีพีเทพซ่า
r3417,Zarnhh,เสือดารินทร์ | bamyada,พีพีเทพซ่า
r3712,Zb1ktr,ไออุ่น,penraimairu
r3783,Zb3nxv,Love is not forbidden,น้องอุ๋งอุ๋ง
r4050,Zbap28,ธุรกิจปี1/Dear woman,ผมไงวัยรุ่ยชอบอ่าน
r4092,Zbcaa8,รักฉันอยู่ในปกครอง,น้องเซชอบแต่ง
r4094,Zbcent,"bad ending , yadabam",พีพีเทพซ่า
r4181,Zbfy61,คุณพบรัก|bam yada,แอดนี้แต่งไปเรื่อย｡⁠◕⁠‿⁠◕⁠｡
r4318,Zbjghs,neighborhood | mintpp,strawberrycheesecake
r4557,Zbqhyy,ใกล้หัวใจ l bamyada,ssharonn
r4944,Zc1s03,คุณลูกเจี๊ยบ | bamyada,พีพีเทพซ่า
r5574,Zcj9lq,สารภาพบาป | เธอเลือกคนนี้,ถ่านไฟเก่า
r5938,Zcsw3n,25 dec | bamyada,พีพีเทพซ่า
r6259,Zd1yjx,Love is forming | bamyada,หนมครกย่าง
r6574,Zda4bi,Love from Afar : ระยะห่างระหว่างดาว (E Book ฟรี ใน Meb),ไรท์เบลอรี่
r7529,Zdwkln,Old Friend | bamyada,Live another 18 years
r8008,Ze856i,ร่างทรง | bamyada,ssharonn
r8065,Ze92y7,27.3 3.27 | bamyada,ssharonn
r8401,Zefb1c,รักลวง | bamyada,ssharonn
r9676,Zf2o86,ฝันลิขิตชีวิต|bamyada,apichaya
r10538,Zfib57,ตายทั้งเป็น|one shot,เจ๊น้ำตก
r10986,Zfptp7,บรรณา(ที่)รักษ์|bamyada,apichaya
r11318,Zfvmf2,แฟนเก่าคนเดิม - bamyada,jaojiw
r12423,Zgdffn,เพื่อน(ไม่)สนิท ที่หัวใจไม่ลืม /แบมญะ,อยากแต่งก็แต่ง
r12672,Zggjs1,HOLDING ON (os) - bamyada,Medulla
r16057,Zhisnx,ใต้บาทอัปสรา | BamYada |,Phujade_fiction
