detail_key,article_id,title,author
r113,Z1px41,#พี่เจคนดี,filimz
r1046,Z7dh9r,จินเจษ | jaerose (3p),J_R
r1143,Z7iw35,ตกหลุมรักไอ้หน้าลิง|JayGin,Sushi
r1647,Z8j42s,เขียนฝันของเจส | Ginjay Jaygin,blu-butter
r1863,Z8tcu0,ยางลบสื่อรัก,ยัยจิ๋วว🌟
r4213,Zbgp8s,ชีวานนท์|Wonjay,จินเจย์
r4720,Zbuwir,กฏต้องห้าม,Light Of Sunset
r7288,Zdr5cu,My yes-man ที่รักสั่งมาครับ  #เจจิน \ Omegavers,เร็กซอน
r8244,Zecd1d,กัดกัน... มันส์รัก|JGin,เพียงแต่รัก
r8517,Zehlri,เริ่มจากคนไม่รู้จัก | GinJay / JayGin,LC
r9265,Zeubyo,ตัวแม่แพ้ทรงติ๋ม | เจจิน,_.JG._
r10678,Zfkrhr,Business love | เจจิน,_.JG._
r11333,Zfvx10,Favorite love song ( #ginj ),6 พฤษภาคม
r11596,Zg1ffq,อุนหมอค้าบบบ,นาฬิกาย้อนเวลา
r11749,Zg3wmd,Forever | Jgin,pxr.mn11
r11787,Zg4ghh,Falling for You Again  (ตกหลุมรักเธออีกครั้ง),เด็กD
r11959,Zg74k2,ทฤษฎีจีบแทน | GinJay,Phetkanya
r11975,Zg7fi3,In the corner  | GINJAY,HufMun
r12168,Zga74l,august | Ginj,mamhee
r12171,Zga9k3,Senorita | JGin,มะหมาจ๋อง
r12181,Zgagy2,She is the Northern Light.| JayGin,ฮ้อบมั้ยคุณพรี่
r12187,Zgaj9v,พี่มีหมายัง | GinJ,BABYMOO
r12192,Zgalgm,When did we not love each other? / ginj,6 พฤษภาคม
r12268,Zgbgiu,หนาวแสงนีออน |GinJ,Sema.n
r12384,Zgcuq7,ยังอยากให้เธอจำ||Ginj,GJ
r12399,Zgd2x4,Fake Love Syndrome — รักแท้แค่นอกบท,tomato ketchup
r12401,Zgd3w7,Les or Straight | JGin,มะหมาจ๋อง
r12432,Zgdkt9,ระยะปลอดภัยของหัวใจ|GinJ,เจ้าปลาวาฬน้อย 🐳
r12441,Zgdpw1,"your honor, ศาลที่เคารพรัก |GinJay | JayGin",luvgynn
r12446,Zgdrfr,ไอหรั่งหัวดำ | jaygin,yyeloww
r12460,Zgdwdt,sister zone |JGin,ฮ้อบมั้ยคุณพรี่
r12477,Zge4k8,วาฬวรินทร์ — Ginjay Jaygin,หยุดยิ้มไม่ได้ ◡̈
r12482,Zge7he,โอบไม่ชอบเธอ|JGin,แมวแว่นดำ
r12510,Zgejfo,pieapple | Jgin,mamhee
r12518,Zgeota,สิตาเด็กออกเเบบ #Jgin,เป็นหมา
r12521,Zgeqoi,ลิงจั๊กๆ | รักจังโว้ย — Her Pet is me | JGinดิวะ,tomato ketchup
r12577,Zgfiti,ยัยเด็ก | จินนี่เจน่า,ยาพิษ🩸
r12590,Zgfmjp,บอสสาวติดหรูกับไอ้หนูติดแกรม,กอแสง
r12647,Zgga77,My fav ex- ||GinJ,การันต์
r12682,Zggnhs,My (D)raft — รักนี้ฉันขอร่างเอง |GinJ,pu!w
r12685,Zggou5,หมอคะ...ช่วยรักษาอาการติดคุณหน่อยได้ไหม - Ginj,zyrelle
r12689,Zggqth,ก็เเค่เเอบรัก | Jgin,bubbiw.
r12701,Zggwc8,ที่ปรึกษา (หัวใจ) ไม่ได้สอนแค่ในตำรา - Ginj,zyrelle
r12702,Zggwis,วิชาหัวใจนอกหลักสูตร - Ginj,zyrelle
r12704,Zggwrn,แปดโมงเช้าวันอังคาร | GinJ,การันต์
r12733,Zghajx,A Sanctuary of Sound - Ginj,zyrelle
r12777,Zghybq,The Warmth of Her Silence  - Ginj,zyrelle
r12820,Zgilgp,timsing | Jgin,0HONG
r12850,Zgj345,ศินินอิงลดา #Jgin,เป็นหมา
r12901,Zgjxv9,นรีวิวาห์ : ginj,พีรฐา
r12903,Zgjy6m,#ธันเลิกเพี้ยน | JayGin,pmium
r12917,Zgk4wt,The Photographer & Her Muse: Sweet Obsession - Ginj,zyrelle
r12948,Zgkk7o,Possessive Obsession: Thanya's Capture - jaygin,zyrelle
r12950,Zgkldp,Falling for the Unseen Star - Ginj,zyrelle
r12985,Zgl2br,แฟนเก่าคนโปรด | จินเจ,เลือดน้ำเงิน
r13013,Zgldil,Be my girl | JGin,Sometimes_.
r13019,Zglhjm,she love me not | Ginjay Jaygin,เฮ็ดวิกอิมพอตจากฮอกวอตส์
r13021,Zgli10,Serene Embrace - Ginj,zyrelle
r13055,Zgltr8,รู้อีกทีก็รักไปแล้ว|Ginjay,Phantom Ink
r13063,Zgm072,สร้อยจันทร์ผูกใจศิวากร - Ginj,zyrelle
r13079,Zgm4uk,"cassette | Jgin , Ginj",mamhee
r13089,Zgmam3,รักผูกพัน|จินเจ,ก๋วยเตี๋ยวเนื้อ
r13090,Zgmaoe,คนของฮูล|GinJay,APIN.N.N
r13111,Zgmgfo,สิรินลูกคนเล็ก # Jgin,เป็นหมา
r13146,Zgmryf,ตอนมีบ่รักษา | Ginj / JGin,คุณเป็ดชมพู
r13151,Zgmth4,The Glimmering Silence - Ginj,zyrelle
r13159,Zgmv2s,ปกครองรักนี้ด้วยหัวใจ - Ginj,ลิงน้อยสีชมพู
r13180,Zgn2m3,The Sweetest Sin - JAYGIN,zyrelle
r13182,Zgn37k,The Echoes of Our Grief - JAYGIN,zyrelle
r13184,Zgn3kk,Heartbeat Echoes - GINJAY,zyrelle
r13193,Zgnaob,"จินเจ , markmin",chwrry
r13215,Zgnko9,My Sunshine Stream - JayGin,zyrelle
r13247,Zgo0cj,Coffee and flower,คุณหมีสายหมอก
r13249,Zgo1fb,แสงอุ่น-Jgin,ดาวเสาร์ของวาฬ
