detail_key,article_id,title,author
r3921,Zb7jmy,ธันวาสุดท้าย | kaojane,undercloud
r4976,Zc2kbo,massage — kaojanejanekao,evisyeh
r7064,Zdlmnv,no nome relationships | alljane janeall,mamiipokoe:3
r7857,Ze4m3b,หมดห่วง || janekao,ChaVana
r7868,Ze4x3c,good may ( เจนเก้า ),courex
r7953,Ze730h,#ทิศใต้ทางณิชา | janekao,Nalinrada
r8028,Ze8khu,Rainbow | JanekaoKaojane,Flowerjk🌸
r9286,Zeush2,รักแรก#kaojane,Pimmie
r9520,Zeyw6l,Against Her | janekao,CapCake
r9537,Zf082c,แสงเหนือ |JaneKao,zinnavx
r9582,Zf0y05,เก้าเจน |harunori,ไม่รู้สิ
r9807,Zf5rg3,วรัญญา|Janekao,unknow
r9990,Zf8w8v,between replies | janekao,ซุ้น
r10050,Zf9xxg,like jennette,in2theblue
r10119,Zfb18t,น่านฟ้าพันไมล์ | Janekao,jayback
r10151,Zfbnhv,เราน่ารักงี้ไม่รักเราได้ไง | Jinekao,เจนเก้าฟอ อิน ฟิน มากก
r10783,Zfmdk5,วิงวอน | Janekao,Dearei
r10883,Zfnsnl,จ๋องซิ่งชิงหมาเกิด|เจนเก้า,Olivia's.
r11356,Zfwatn,คุณมี 'โกลเด้น' เป็นของตัวเองหรือยังคะ? #JaneKao (Omegaverse),Purple_RoseSS
r11652,Zg2cgf,Jinjae,อ๊าก
r11835,Zg5751,ลามปาม|เจนเก้า,ธันเดอร์ เอ็กซ์เพลส
r11883,Zg5sd2,มั่ว|เจนเก้า,ธันเดอร์ เอ็กซ์เพลส
r11950,Zg6xm1,พรมลิขิตรัก<Destiny of Love>,bin _151
r12028,Zg88hc,กลิ่นกาแฟติดตัวคุณ | เจนเก้า,ภัทรทะ
r12049,Zg8j3a,ต้นหนาวฤดูฝน | เจนเก้า,Kanokkate
r12219,Zgaxqo,ว้าวุ่นเลย ; เจนเก้า,ง่วงนอนคับ.
r12229,Zgb33c,รักแรกพบ | JaneKao,L0V3
r12263,Zgbekj,first love | janekao,Us
r12272,Zgbgy4,My favorite girl | janekao,dr.blue
r12317,Zgc3cd,หมวยอย่าทิ้งเค้า | Kaojane,ชาเขียวแก้วนึง
r12319,Zgc45j,tua mae tua mom | janekao,อู่เรือ🚢
r12320,Zgc4ee,My puppy | Janekao,ชาเขียวแก้วนึง
r12326,Zgc79y,"keep calm, janekao",🫀✨
r12374,Zgcpkh,The Smile I Remember,ℳ𝓎 𝒮𝑜𝓊𝓁
r12426,Zgdhk3,ex gf him but she's mine|kaojane janekao,ก่อนสิบ
r12438,Zgdnmc,Q รักร้าย|เจนเก้า,NATCHA_J
r12479,Zge5c8,มาลองเดี๋ยวก็รู้ — เก้าเจน,nasai
r12482,Zge730,Late Wife | janekao,CapCake
r12494,Zgefdl,First love|Janekao,X2K
r12499,Zgeh0r,ระวังสิ้นสุดทางเพื่อน|Friend zone,bin _151
r12530,Zgevxm,don't want to be just siblings -(ไม่)อยากเป็นแค่พี่น้อง| janekao,JK
r12532,Zgexcb,เอาใจคุณภรรยาที่รัก,Safezone it me
r12545,Zgf5mq,Psychopath|janekao,มุ้ง้วน;)
r12548,Zgf8bf,"salapao, เจนเก้า",rem
r12552,Zgf96y,สัญญาเช่ารัก (Love contract) - kaojanejanekao,Sangseeyellow
r12558,Zgfays,Favorite ex boyfriend -แฟนเก่าคนโปรด|janekao,ทุกคนมีแม่คนเดียวโกโก้ๆ
r12570,Zgffsm,i found something good — 9779s,4th of july
r12585,Zgflvm,F*ck you | Janekao,ชาเขียวแก้วนึง
r12606,Zgfr9b,#พี่ดาราคนนั้น | 9779,Andthen.
r12612,Zgfvjm,love hate theory - janekao,bleu ciel
r12618,Zgfw9f,Evil Boys|เจนเก้า,Z.fzz
r12627,Zgg1ls,Caffeine Clash | kaojane,winQtier
r12631,Zgg3l7,coffee ; kaojane,อึ่งต้มน้ำปลาสด
r12662,Zggec8,what color is your love | kaojanejanekao - 9779,mistletoe.
r12674,Zggkaa,อริมันรักกันไม่ได้หรอ|เจนเก้า,yayee_kt
r12711,Zgh01p,เธอเรียกฉันว่าท่านประธาน | Janekao,มายเนมบี
r12730,Zgh8iq,เจนรักพี่|เจนเก้า,เจนเก้า🫠
r12740,Zghcwo,claireprite — janekao,febben
r12742,Zgheop,Design Her Heart ออกแบบรักในใจเธอ,ดารินทร์
r12750,Zghlc7,เฟลิกซ์อยากกินบะหมี่มั้ย,ชาเขียวแก้วนึง
r12787,Zgi18p,Dark choc | janekao,ซุ้น
r12790,Zgi1v1,วาริศา — 9779,tulipintherain
r12825,Zgim32,MONET [ 9779 ],ขอมอ97
r12844,Zgiyas,Tracklist | 9779,shingur ☆
r12860,Zgj9pl,#ลูกพี่ค้าบ — 9779,sunday on march
r12908,Zgk150,crossfade | janekao,hasht
r12917,Zgk4p6,ครัวอ่อนด๋อย - เก้าเจน,Cumtoey
r12927,Zgk86o,รุ่นพี่คนนั้นอีกแล้วหรอ (KaoJaneJaneKao) 9779,tenniverse.lee
r12936,Zgkgne,Sweetness After Night | Janekao,matchapudding
r12940,Zgkhw3,คุณเกลของเจ้าเด็ก || kaojanejanekao || 9779,พิโฮปแมวอ้วน
r12971,Zgkv7p,สามีในนาม | janekao,ทุกคนมีแม่คนเดียวโกโก้ๆ
r12973,Zgkw3d,Behind the scene | 9779,เด็กเจนเก้า
r13045,Zglpsv,A - 9779 [One short],97879
r13068,Zgm0yy,Room 709 | Janekao Kaojane,Tonmaiibaiyaa
r13101,Zgmd56,จันทร์เจ้าขา | JaneKao,moonlightmonday
r13104,Zgme0h,ญไม่หยิ่ง | 9779,เด็กเจนเก้า
r13125,Zgmkpu,Sweet Trouble | JaneKao,macchil
r13164,Zgmvw7,รับ เลิก รัก | janekao,มอคค่าเย็น
r13199,Zgncif,#เหมยมินิมาร์ท | KaojaneJanekao,wizluvJays
r13215,Zgnjhs,รักคนเก่า | janekao,79เจนเก้า
r13297,Zgoiik,เคาท์ดาวน์:เก้าเจน,คุณชายทานตะวัน
r13344,Zgoxg5,Starry | เจนเก้า,ไอติมโอ่ง
r13384,Zgpd7h,See you on Friday night | janekao,ซุ้น
r13403,Zgpka4,แสงสว่างของ|เก้า&เจน,k
r13430,Zgpsu6,HELL LET LOOSE - kaojanejanekao,mistletoe.
r13437,Zgpw40,DESTINY — 9779,pntx
r13454,Zgq2fl,ติ๋มแล้วไง | janekao,vacalno baby
r13481,Zgq9qx,คงเพราะทุนนิยม | 9779,notallbad
r13496,Zgqh6n,ตามใจ | janekao,The Last Chance
r13611,Zgrqcq,Love at First Look,คุณไอซ์
r13627,Zgrvwy,Late night with you | KaoJaneJaneKao,midnight cat 🐾
r13631,Zgrxj4,what a mess — 9779s,4th of july
r13643,Zgs42k,เธอคนนี้|เจนเก้า,K/mail
r13644,Zgs49y,"พบรักคณะสี | เจนเก้า ,วิวมิ้ม",Noody
r13657,Zgs965,ห้องของเรา..หลังจากเธอมา | 9779s,PPrintZx
r13752,Zgt6r0,Feather Left Behind | Janekao,ซุ้น
r13802,Zgtoli,Playgirl in denial | Kaojane,ชาเขียวแก้วนึง
r13820,Zgtw1j,พี่แหวนแฟนน้องข้าว 9779s,คนล่าฝันเลขนั้นที่เฝ้าหา
r13831,Zgu4ky,เทอบอกรักปากเปล่า แต่ว่าฉันเฝ้ารอตลอดกาล - kaojanejanekao,IwasbornonSaturday
r13900,Zgusbr,ทรงติ๋มแพ้คนสวย |9779,ทอที
r14039,Zgwjby,Back to You | 9779 | #bty9779,mistletoe.
r14047,Zgwkvp,lecture191 — kaojanejanekao,evisyeh
r14071,Zgwxn6,Pre-order Love รับหัวใจด้วยไหมคะ? | Janekao,เพลาภิรมย์
r14143,Zgxoxo,The Rivals' Secret : รักนี้ศัตรู(ไม่)รู้,คุณเพชรพลอย
r14146,Zgxr04,i found my home in you — #เม็ดฝุ่นนับสาม | 9779s,October wish —
r14147,Zgxrcu,the Element Of us (กฎหลักห้ามรัก),b.6e11
