detail_key,article_id,title,author
r287,Z4i7yg,น้องพนักงานคะ |oombam,jafno
r9004,Zeq8rb,ฟิคสั้น,ตุงๆๆๆ
r10640,Zfk4l6,oh my angel — oombam,16minutes
r12070,Zg8x73,คนกลาง — แบมอุ้ม,chxrain
r13207,Zgngbi,อาชาวี |oombam,hayou
r13339,Zgox56,ลวงใจเดอะซีรีส์ Deceive Love Series,ปราณรวีร์
r13348,Zgoygp,RADIANT LADIES #เลิศนรีกูล ตอน แลกรักศรา,between may and july
r13521,Zgqqvq,จิรภัทร | Oombam,inkheart 🖤
r13987,Zgw1ce,ละอองดาว | oombam,ฟอเหว่ย
r14342,Zh0mod,ไอยาริน |oombam,hayou
r14417,Zh1ign,"""The Core Fanfiction เตชะพิพรรธน์""",𝓗𝓪𝓹𝓹𝔂 𝓜𝓲𝓷𝓭
r14441,Zh1q27,"{The Core ""ไอรักรินธารา""}",𝓗𝓪𝓹𝓹𝔂 𝓜𝓲𝓷𝓭
r14630,Zh3tf0,หรือว่าเธอก็รู้สึกเหมือนกัน Feel the same way,snacksandwine
r14791,Zh5nus,ธารรักชลลิน | OomBam #Honor&Heart,ไรท์ท์ท์ IT IS YOU.
r14860,Zh6g64,[OS] Mm,SummerSide☀️
r15439,Zhcr7c,จดหมายจากอรวรรณ (oombam),Himmle
r15440,Zhcrhb,เมื่อหัวใจได้พบรัก,OO^^OO
r16170,Zhjnu6,ครองขวัญ # oombam,meowlin
r16261,Zhkfsm,ตราบนิจนิรันดร์ (oombam),Himmle
r16275,Zhkl7o,ppnd |oombam,ฟอเหว่ย
r16295,Zhksgd,[OS] BFF,SummerSide☀️
r16448,Zhm4l9,ห้ามล้ำเส้น (No Entry) - oombam,ผู้ช่วยเลขานุการ
r16586,Zhnqco,Addicted(DARIN) |oombam,ฟอเหว่ย
r16894,Zhqmtr,ลองเดทกันก่อนไหมคะ (oombam),Himmle
r16961,Zhrb1w,oasis (oombam),bydp
r17008,Zhrpaj,Blue ln My Sky,OO^^OO
r17049,Zhs3nb,[OS] WWW,Raindrops💧
r17193,Zhtkx3,เพียงจะรัก,OO^^OO
r17224,Zhtwqa,#เถียนมี่มี่ | Oombam,Margherita_87
r17407,Zhvisp,last summer ️|bam × all,bbp
r17442,Zhvu4m,ร่ายรำยั่วรัก — Seductive Waltz,เด็กหญิงเดือนสิบเอ็ด
r17682,Zhya8a,"Didn't forget, just didn't find.",mokkingaa
r17877,Zi15fr,Favorite president|อุ้มแบม,🫪🫪
r17908,Zi1fu8,รักเเรกพบ|oombam,อ๊บ อ๊บ🐸
r17933,Zi1se8,คุณหนูครับ | อุ้มแบม,pcx_ttb
r18024,Zi2mxl,Ordinary | OomBam,bllumin
r18170,Zi3xhq,เสพติด | oombamoom,Solar System
r18256,Zi4thi,ไร่เพียงหมอก|oombam,คุณ29
r18280,Zi54na,End of episode | Oombam,มุแมวคลั่งรัก
r18325,Zi5jye,Special lecturer  | Oombam,Miss NoPhunk
r18337,Zi5pew,พั้นซ์ไม่แต่ง | oombam,BoobOO
r18347,Zi5sdw,[OS] wéiyī |oombam,พีนัทช็อคโกแลต
r18373,Zi618g,ค่อยๆ เติมรักให้เต็ม | #อุ้มแบม,ดชช.
r18389,Zi65hp,The Second Bouquet | OomBam,bllumin
r18414,Zi6d33,เทพประจำร้าน,PALALOY
r18420,Zi6g1l,The privilege,OO^^OO
r18436,Zi6nds,Always been you | #OomBam,AlwaysYours
r18487,Zi77ew,ใต้สัญญาวิวาห์,bluebe11
r18554,Zi7uoe,ข่อยฮักเจ้า |Oombam|,Miss NoPhunk
r18690,Zi93hl,"opposition , oombam",JK
r18697,Zi9568,เพ้นท์ใจโจ | Oombam,太太
r18721,Zi9blg,When the Sun Hides the Moon - [เมื่อ] สุริยันซ่อนจันทรา,[Better]Fine
r18753,Zi9kv6,คำถามข้อที่6,sun
r18785,Zi9sdn,หลังแต่งงานก็เป็นแบบนี้แหละ,JRPTN
r18879,Ziam4f,รักนี้ไม่มีกฎสวรรค์,OO^^OO
r18938,Zib6f3,EFM FANDOM FANFICTION - EP.20 Oom Bam,EFM FANDOM
r18970,Zibi82,Beyond the Script (อุ้มแบม),Violet Room
r18974,Zibjcf,Project The Shadow Series : สัญญาพรางใจ (The Fortress of Shadow) [ อุ้ม x แบม ],AksaraOnthakan
r19018,Zibv6u,เก้ากันยา,JRPTN
r19214,Zidnss,รุ่งอรุณหลังฝนโปรย (Oombam),Himmle
r19220,Zidp5u,อยากจะกอดเธอนานๆ,52Hzlove
r19313,Zied2g,Fulfill Your Heart: เติมรักให้เต็มแก้ว,Violet Room
r19528,Zig1d8,ลิขิตรักอัสดง | อุ้มแบม,P.sunsets
r19580,Zigfjp,ณ พบเธอ | Oombam,อบอุ่น
