detail_key,article_id,title,author
r12979,Zgl03k,RADIANT LADIES #เลิศนรีกูล ตอน วิวาห์ดารัณ,MARS J.
r13685,Zgshi8,จัตุรัสแห่งความลับ,OO^^OO
r16069,Zhivgy,Friend Zone - Tanyada,sip_slow
r16085,Zhj0xi,นิรินเพียงวา – tanyada,เบวเบ้ว
r16145,Zhjhe3,Beautiful - Tanyada,sip_slow
r16510,Zhmrna,Satellite Heart - Tanyada,sip_slow
r17148,Zht69y,รักที่ไม่ได้จ้าง #แทนญดา,PKN.13
r17453,Zhvy3l,เรื่องราวข้างหน้าต่าง,ต้นไม้ยืนได้
r17834,Zi0tpl,"Tanyada-แทนญดา "" โกลเด้นเองมีปัญหาหรอ """,I love you 🎀🙊
r18743,Zi9i9h,Today's special |  Tanyada,แว่นเน่า
